Price,Close,High,Low,Open,Volume,ticker
Ticker,V,V,V,V,V,
Date,,,,,,
2023-04-12,224.3625030517578,228.08529834935007,223.88977119609325,226.4504158564948,4373000,V
2023-04-13,229.16867065429688,229.31639467124185,225.337539193476,225.98755492378507,7615500,V
2023-04-14,230.478515625,231.4338375522734,228.7254540534387,229.46410409857543,9781300,V
2023-04-17,229.9467010498047,230.50808235088746,227.4451459379206,230.47853754850152,4865000,V
2023-04-18,230.06491088867188,230.78385950860883,228.18381152720394,230.21263491061916,4796200,V
2023-04-19,229.05047607421875,230.5179179703432,228.34137078470408,230.4588283675294,3833900,V
2023-04-20,231.04977416992188,231.11870703646272,227.99668085573575,228.94215966507028,4925700,V
2023-04-21,230.50807189941406,232.0050736065508,229.84821296292188,231.44369233092164,6771500,V
2023-04-24,229.2375946044922,231.59142569282005,228.0065110849091,230.6853500257519,9124100,V
2023-04-25,226.11557006835938,231.4634047265999,225.95798777014096,229.49367108249473,6076500,V
2023-04-26,224.6973419189453,229.24743650098105,223.2889896866091,227.7208900402599,8400400,V
2023-04-27,225.5443572998047,226.1549849803563,223.1806828144544,225.20950616949065,7128200,V
2023-04-28,229.2080535888672,230.03535314887935,224.60872728706693,225.18979511121964,11627900,V
2023-05-01,228.99136352539062,231.03988817672348,228.00649677155025,229.34591615788813,4571100,V
2023-05-02,223.5450439453125,228.85347496612593,222.78670739082025,228.43983274698283,5244000,V
2023-05-03,222.5601806640625,225.2094745868218,222.5010910643967,223.54504739948985,4093300,V
2023-05-04,222.1859588623047,222.6389891803451,220.09803100130873,221.43745046712925,5648700,V
2023-05-05,228.27244567871094,228.82396873051673,223.85038794968588,224.8845011857598,6237000,V
2023-05-08,228.71560668945312,229.91714535581198,227.7504414588593,227.7504414588593,2938400,V
2023-05-09,229.7300262451172,230.54746749917715,227.32696385679165,227.5830238168602,4352100,V
2023-05-10,227.77015686035156,231.25657883973264,225.43601224529428,230.75430216453057,5245000,V
2023-05-11,227.95762634277344,228.4608972762744,225.25383999204038,227.70106718061683,3818000,V
2023-05-12,228.32275390625,229.6549071645763,226.78336877724738,228.93455695568105,3430300,V
2023-05-15,229.7338409423828,229.7535808951164,227.50370811299933,228.1352510859239,2843200,V
2023-05-16,227.4247589111328,230.02001305805302,226.59586159860115,229.48713974487418,4289700,V
2023-05-17,229.5759735107422,230.79959472595903,227.50372998961723,229.65491827209556,4990100,V
2023-05-18,230.513427734375,231.05614848804274,228.07606286701252,229.32927139902247,6621900,V
2023-05-19,230.2272491455078,231.2436384475616,228.8753559112985,230.9081345154061,5399100,V
2023-05-22,228.2240753173828,230.7798498003054,228.12539060352336,230.22725153990845,3987800,V
2023-05-23,221.61257934570312,226.45770610358545,220.7047373047779,226.240611804976,8537200,V
2023-05-24,219.31336975097656,220.15214456704365,217.12270181593186,219.60940880706917,6730800,V
2023-05-25,220.428466796875,221.72115525168974,217.57665320309204,219.51074713242335,6827600,V
2023-05-26,222.0369110107422,223.2210673154805,220.38897872382793,220.8626472685924,5067300,V
2023-05-30,218.71144104003906,222.4908365551208,216.84641445994012,222.03690797023071,6916000,V
2023-05-31,218.1094970703125,218.60289049716604,213.28410995797154,217.05364296657555,20460600,V
2023-06-01,223.50723266601562,223.71446454000122,219.49100275887852,219.7870418400695,7003600,V
2023-06-02,225.7669677734375,227.22742322367563,224.41507454144192,225.78670772740642,5895500,V
2023-06-05,223.77366638183594,225.31305151503818,222.3329509029421,224.89860282972782,4858900,V
2023-06-06,225.20452880859375,226.2209182070876,223.171750011606,223.694745913465,6020100,V
2023-06-07,222.29347229003906,224.54334504652886,218.09962828367057,224.00060928132913,8517200,V
2023-06-08,220.10281372070312,222.16519465924517,219.47127072803852,222.11585230445505,6248200,V
2023-06-09,220.60609436035156,222.20468444618257,219.81666176663185,220.68503912544097,6385000,V
2023-06-12,223.18157958984375,223.45787870269083,220.67514762125316,221.44484015806606,8621100,V
2023-06-13,220.4481964111328,224.14864743677072,219.68838130836693,222.63886462288434,6868700,V
2023-06-14,220.4876708984375,222.49084713314602,219.6390335484743,220.78370998464297,9160700,V
2023-06-15,223.18157958984375,224.10916163604708,218.4449997083373,219.0864201937963,12534000,V
2023-06-16,225.8853759765625,226.76361564950574,223.09276745183527,223.4578737591977,13628500,V
2023-06-20,223.4776153564453,226.53666056274156,223.19143874275343,224.0006111735543,12312300,V
2023-06-21,224.247314453125,225.6090851413666,222.00730405974113,223.13224048045342,7032100,V
2023-06-22,225.37225341796875,225.90511170445922,222.5204399560736,223.36907726950122,6275500,V
2023-06-23,226.51695251464844,226.94126368531582,223.3987020682969,224.21773706220927,5422500,V
2023-06-26,223.30987548828125,227.05966866945522,223.21119077673472,226.4083857104632,5165400,V
2023-06-27,224.33612060546875,225.58934413069838,223.52696321192172,224.4742701632535,4628500,V
2023-06-28,224.9479522705078,225.04662192792395,223.03358324198834,224.4940236634386,5324500,V
2023-06-29,231.2239227294922,231.59889152736199,225.5795002349229,225.76697710527094,7118900,V
2023-06-30,234.34213256835938,235.1315650451277,232.83234992048205,233.14812893405824,6879100,V
2023-07-03,234.82568359375,235.24999474016627,232.2995114980598,233.86849908070238,3087400,V
2023-07-05,236.28611755371094,236.82885335408196,230.89826957192244,231.31271825843132,7601200,V
2023-07-06,235.72364807128906,236.43413580944522,233.56258245582842,235.12170748916154,6441800,V
2023-07-07,233.3257598876953,235.28947124259471,233.00999590889197,233.60205901558817,5729200,V
2023-07-10,235.01316833496094,235.9407504167571,233.37509849081763,233.87835438199147,4858900,V
2023-07-11,237.37158203125,237.51959403728546,234.97368213326772,235.65456747537593,3857100,V
2023-07-12,239.0096435546875,240.7266429939299,238.04258162483637,238.35836063634008,6116000,V
2023-07-13,240.09512329101562,241.04244536014122,239.9372337699658,240.5687767969917,5819600,V
2023-07-14,239.94711303710938,241.50623819028107,238.76297173489024,241.49636068440952,4940600,V
2023-07-17,240.76612854003906,242.12788415183135,239.78920413962888,239.89775129523002,4328100,V
2023-07-18,237.5886688232422,239.96681363556843,234.53948608089058,239.88788393963,7674700,V
2023-07-19,238.2301025390625,239.38464145825884,236.94727649867528,238.0623505652142,4835500,V
2023-07-20,236.45387268066406,238.41758403657286,235.91115193020684,237.97353294202915,4695000,V
2023-07-21,236.08877563476562,237.1742472927375,235.57564220943584,236.57230665643922,5426800,V
2023-07-24,237.55909729003906,238.09195562130645,235.04278753993552,236.51309046829175,6010000,V
