date,value,series_id,indicator_name
2020-07-01 18:23:06.098021,20200.03,GDP,Gross Domestic Product
2020-10-01 18:23:06.098021,21007.86,GDP,Gross Domestic Product
2021-01-01 18:23:06.098021,22067.36,GDP,Gross Domestic Product
2021-04-01 18:23:06.098021,22223.18,GDP,Gross Domestic Product
2021-07-01 18:23:06.098021,21985.56,GDP,Gross Domestic Product
2021-10-01 18:23:06.098021,21704.93,GDP,Gross Domestic Product
2022-01-01 18:23:06.098021,21634.47,GDP,Gross Domestic Product
2022-04-01 18:23:06.098021,23282.34,GDP,Gross Domestic Product
2022-07-01 18:23:06.098021,24573.99,GDP,Gross Domestic Product
2022-10-01 18:23:06.098021,25639.26,GDP,Gross Domestic Product
2023-01-01 18:23:06.098021,26294.35,GDP,Gross Domestic Product
2023-04-01 18:23:06.098021,26326.46,GDP,Gross Domestic Product
2023-07-01 18:23:06.098021,25765.68,GDP,Gross Domestic Product
2023-10-01 18:23:06.098021,25897.96,GDP,Gross Domestic Product
2024-01-01 18:23:06.098021,26501.75,GDP,Gross Domestic Product
2024-04-01 18:23:06.098021,27624.0,GDP,Gross Domestic Product
2024-07-01 18:23:06.098021,28758.39,GDP,Gross Domestic Product
2024-10-01 18:23:06.098021,30001.79,GDP,Gross Domestic Product
2025-01-01 18:23:06.098021,30342.04,GDP,Gross Domestic Product
2025-04-01 18:23:06.098021,30095.3,GDP,Gross Domestic Product
