title,summary,source,published_at,url,polarity,subjectivity,sentiment
Simulated news about AAPL,This is a simulated news article about AAPL,Simulation,2025-04-13 22:29:39.003964,https://example.com,0.30857771185144856,0.2538002757562511,positive
Simulated news about AAPL,This is a simulated news article about AAPL,Simulation,2025-04-13 22:29:39.003964,https://example.com,-0.44371262659672595,0.3584686155218818,negative
Simulated news about AAPL,This is a simulated news article about AAPL,Simulation,2025-04-13 22:29:39.003964,https://example.com,-0.31001301209809085,0.12029722861045122,negative
Simulated news about AAPL,This is a simulated news article about AAPL,Simulation,2025-04-12 22:29:39.003964,https://example.com,0.7031187485787935,0.04077079206601053,positive
Simulated news about AAPL,This is a simulated news article about AAPL,Simulation,2025-04-11 22:29:39.003964,https://example.com,-0.020154354205851543,0.6112235747095871,neutral
Simulated news about AAPL,This is a simulated news article about AAPL,Simulation,2025-04-11 22:29:39.003964,https://example.com,0.5087767354182253,0.06984275141955631,positive
Simulated news about AAPL,This is a simulated news article about AAPL,Simulation,2025-04-11 22:29:39.003964,https://example.com,0.5575563234177427,0.6358809325859673,positive
Simulated news about AAPL,This is a simulated news article about AAPL,Simulation,2025-04-11 22:29:39.003964,https://example.com,0.14075002390422453,0.6592985934380087,positive
Simulated news about AAPL,This is a simulated news article about AAPL,Simulation,2025-04-11 22:29:39.003964,https://example.com,-0.6848502919011554,0.6318348114666299,negative
Simulated news about AAPL,This is a simulated news article about AAPL,Simulation,2025-04-10 22:29:39.003964,https://example.com,0.8687215402021986,0.23783865240156432,positive
Simulated news about AAPL,This is a simulated news article about AAPL,Simulation,2025-04-09 22:29:39.003964,https://example.com,-0.02864467849037,0.8036486983707337,neutral
Simulated news about AAPL,This is a simulated news article about AAPL,Simulation,2025-04-08 22:29:39.003964,https://example.com,-0.6499880585787128,0.6152833412979593,negative
Simulated news about AAPL,This is a simulated news article about AAPL,Simulation,2025-04-08 22:29:39.003964,https://example.com,0.9603513946284392,0.681752998544653,positive
Simulated news about AAPL,This is a simulated news article about AAPL,Simulation,2025-04-08 22:29:39.003964,https://example.com,-0.2511366938423505,0.024387208567568153,negative
Simulated news about AAPL,This is a simulated news article about AAPL,Simulation,2025-04-08 22:29:39.003964,https://example.com,-0.6388518872333129,0.07975724338258583,negative
Simulated news about AAPL,This is a simulated news article about AAPL,Simulation,2025-04-07 22:29:39.003964,https://example.com,0.7620359422108025,0.7800895260972287,positive
Simulated news about AAPL,This is a simulated news article about AAPL,Simulation,2025-04-06 22:29:39.003964,https://example.com,0.8408161784280235,0.06805286620695106,positive
Simulated news about AAPL,This is a simulated news article about AAPL,Simulation,2025-04-06 22:29:39.003964,https://example.com,0.1860411555652708,0.8745688449292502,positive
Simulated news about AAPL,This is a simulated news article about AAPL,Simulation,2025-04-06 22:29:39.003964,https://example.com,-0.8149994420313527,0.009208934832999116,negative
Simulated news about AAPL,This is a simulated news article about AAPL,Simulation,2025-04-05 22:29:39.003964,https://example.com,-0.01384516923475565,0.6155950191752249,neutral
Simulated news about AAPL,This is a simulated news article about AAPL,Simulation,2025-04-05 22:29:39.003964,https://example.com,0.1513657691265129,0.545738546479702,positive
Simulated news about AAPL,This is a simulated news article about AAPL,Simulation,2025-04-05 22:29:39.003964,https://example.com,0.3067934322947541,0.7153972571117037,positive
Simulated news about AAPL,This is a simulated news article about AAPL,Simulation,2025-04-05 22:29:39.003964,https://example.com,0.2346740805823755,0.86987533850008,positive
Simulated news about AAPL,This is a simulated news article about AAPL,Simulation,2025-04-05 22:29:39.003964,https://example.com,0.1927521642700023,0.985273271112844,positive
Simulated news about AAPL,This is a simulated news article about AAPL,Simulation,2025-04-04 22:29:39.003964,https://example.com,-0.3448093685021192,0.4861181098461528,negative
Simulated news about AAPL,This is a simulated news article about AAPL,Simulation,2025-04-04 22:29:39.003964,https://example.com,-0.9525722324381563,0.8436974393680784,negative
Simulated news about AAPL,This is a simulated news article about AAPL,Simulation,2025-04-04 22:29:39.003964,https://example.com,-0.8958197566690873,0.4763515915411284,negative
Simulated news about AAPL,This is a simulated news article about AAPL,Simulation,2025-04-04 22:29:39.003964,https://example.com,-0.3282350481090144,0.5739862159479086,negative
Simulated news about AAPL,This is a simulated news article about AAPL,Simulation,2025-04-03 22:29:39.003964,https://example.com,0.4090627695849678,0.4817731995490391,positive
Simulated news about AAPL,This is a simulated news article about AAPL,Simulation,2025-04-03 22:29:39.003964,https://example.com,-0.8268157689789863,0.06401149725188127,negative
Simulated news about AAPL,This is a simulated news article about AAPL,Simulation,2025-04-03 22:29:39.003964,https://example.com,-0.0624071467759042,0.6915049937935744,neutral
Simulated news about AAPL,This is a simulated news article about AAPL,Simulation,2025-04-02 22:29:39.003964,https://example.com,0.942002014924844,0.002095737580530832,positive
Simulated news about AAPL,This is a simulated news article about AAPL,Simulation,2025-04-02 22:29:39.003964,https://example.com,0.19070057390770478,0.5483261306612301,positive
Simulated news about AAPL,This is a simulated news article about AAPL,Simulation,2025-04-02 22:29:39.003964,https://example.com,0.025851422414189917,0.8377096459200085,neutral
Simulated news about AAPL,This is a simulated news article about AAPL,Simulation,2025-04-01 22:29:39.003964,https://example.com,0.1258413628864623,0.5330308009266501,positive
Simulated news about AAPL,This is a simulated news article about AAPL,Simulation,2025-04-01 22:29:39.003964,https://example.com,0.805204403255128,0.8915680524829882,positive
Simulated news about AAPL,This is a simulated news article about AAPL,Simulation,2025-03-31 22:29:39.003964,https://example.com,-0.4938908405123159,0.6181622448031971,negative
Simulated news about AAPL,This is a simulated news article about AAPL,Simulation,2025-03-31 22:29:39.003964,https://example.com,0.7391211602645649,0.20376587780765476,positive
Simulated news about AAPL,This is a simulated news article about AAPL,Simulation,2025-03-31 22:29:39.003964,https://example.com,-0.248535532400181,0.03574650525756884,negative
Simulated news about AAPL,This is a simulated news article about AAPL,Simulation,2025-03-31 22:29:39.003964,https://example.com,0.3196571990331927,0.7179251411762502,positive
Simulated news about AAPL,This is a simulated news article about AAPL,Simulation,2025-03-30 22:29:39.003964,https://example.com,-0.6064944986763388,0.4871224901232696,negative
